paper_id,cluster
1001,2
9304045,2
9308122,2
9309097,2
9311042,2
9401139,2
9404151,2
9407087,2
9408099,2
9501030,2
9503124,2
9504090,2
9504145,2
9505025,2
9505054,2
9505105,2
9505162,2
9506048,2
9506112,2
9506144,2
9507050,2
9507158,2
9508094,2
9508155,2
9510142,2
9510225,2
9510234,2
9511030,2
9511171,2
9601108,2
9602022,2
9602114,2
9603003,2
9603150,2
9603161,2
9603167,2
9605184,2
9605222,2
9606017,2
9606040,2
9607163,2
9607207,2
9608086,2
9609070,2
9609071,2
9609239,2
9611137,2
9612108,2
9701162,2
9702094,2
9702155,2
9702198,2
9703082,2
9703166,2
9704097,2
9705030,2
9705044,2
9705104,2
9705220,2
9706005,2
9707014,2
9707042,2
9707049,2
9710230,2
9711036,2
9711104,2
9712028,2
9712042,2
9802194,2
9805056,2
9805206,2
9806094,2
9810188,2
9811217,2
9905036,2
9907041,2
9908007,2
9908144,2
9909108,2
9909120,2
9909229,2
9910238,2
9910248,2
9910268,2
9204040,2
9203084,2
9204035,2
9205041,2
9207049,2
9207111,2
9301042,2
9301043,2
9201015,2
9201040,2
9201047,2
9202046,2
9202059,2
9202092,2
9203008,2
9203031,2
9204037,2
9204046,2
9205046,2
9205060,2
9205062,2
9205068,2
9206023,2
9206051,2
9206078,2
9207016,2
9208076,2
9209052,2
9210015,2
9210021,2
9210121,2
9211021,2
9211041,2
9212089,2
9301005,2
9302033,2
9302069,2
9302126,2
9303032,2
9304155,2
9305185,2
9308042,2
9305139,2
9309140,2
9204102,2
9211097,2
9402002,2
9402005,2
9402044,2
9403195,2
9403198,2
9406128,2
9205081,2
9207053,2
9208055,2
9209016,2
9211056,2
9303057,2
9305142,2
9306052,2
9306125,2
9311120,2
9402032,2
9406105,2
9406198,2
9407021,2
9407111,2
9408040,2
9408074,2
9408083,2
9409021,2
9410167,2
9410210,2
9412184,2
9205027,2
9406012,2
9411149,2
9411178,2
9201059,2
9309152,2
9310067,2
9412115,2
9501068,2
9502072,2
9504027,2
9504047,2
9304154,2
9501022,2
9502057,2
9503179,2
9308083,2
9411048,2
9411057,2
9501111,2
9502077,2
9503163,2
9504006,2
9504034,2
9505023,2
9505053,2
9505062,2
9302103,2
9305069,2
9406032,2
9409188,2
9406055,2
9408036,2
9411234,2
9412200,2
9506075,2
9506091,2
9506024,2
9506077,2
9506110,2
9506160,2
9506194,2
9507027,2
9207060,2
9503212,2
9506126,2
9506150,2
9507048,2
9303106,2
9410073,2
9411187,2
9504081,2
9504095,2
9506057,2
9507090,2
9508056,2
9304135,2
9412209,2
9505073,2
9505150,2
9506084,2
9506102,2
9507113,2
9507115,2
9507121,2
9507151,2
9507153,2
9507168,2
9508044,2
9508064,2
9508071,2
9508096,2
9508143,2
9508144,2
9409110,2
9503208,2
9507012,2
9508154,2
9509009,2
9510093,2
9201056,2
9206080,2
9301083,2
9307158,2
9308062,2
9407031,2
9506122,2
9509066,2
9510135,2
9510169,2
9204030,2
9205009,2
9510017,2
9510173,2
9510182,2
9412236,2
9511164,2
9511222,2
9512016,2
9512017,2
9512059,2
9512145,2
9601014,2
9601038,2
9206101,2
9409111,2
9505183,2
9506101,2
9510086,2
9510161,2
9510209,2
9511080,2
9512077,2
9512181,2
9512196,2
9512219,2
9601036,2
9602010,2
9210127,2
9304104,2
9506156,2
9508107,2
9509106,2
9512129,2
9512178,2
9602049,2
9602064,2
9602097,2
9602118,2
9512053,2
9602030,2
9602070,2
9602098,2
9602120,2
9404060,2
9511108,2
9511157,2
9602102,2
9603037,2
9511204,2
9512078,2
9509151,2
9511026,2
9511088,2
9601029,2
9601162,2
9602052,2
9603142,2
9309110,2
9403054,2
9406090,2
9412117,2
9502012,2
9510055,2
9605036,2
9603081,2
9603127,2
9604198,2
9605150,2
9605199,2
9406178,2
9510227,2
9512062,2
9603042,2
9602167,2
9509132,2
9608039,2
9608079,2
9604097,2
9605154,2
9608111,2
9605131,2
9605200,2
9606044,2
9606086,2
9607020,2
9607139,2
9608024,2
9608047,2
9608109,2
9509042,2
9509161,2
9510106,2
9602051,2
9603108,2
9608194,2
9511077,2
9512226,2
9603170,2
9604034,2
9609161,2
9604129,2
9606165,2
9610111,2
9602065,2
9604030,2
9605053,2
9606122,2
9606148,2
9607091,2
9607105,2
9610195,2
9610251,2
9611090,2
9612052,2
9701015,2
9701023,2
9701147,2
9503115,2
9505006,2
9505075,2
9505082,2
9505100,2
9506098,2
9507013,2
9507018,2
9507032,2
9507169,2
9510148,2
9510228,2
9511154,2
9603086,2
9603136,2
9603158,2
9607076,2
9607202,2
9610132,2
9611190,2
9611197,2
9612114,2
9612207,2
9204060,2
9205004,2
9304026,2
9509049,2
9511230,2
9606112,2
9606008,2
9609219,2
9207091,2
9210068,2
9504102,2
9505097,2
9507008,2
9509175,2
9509176,2
9510074,2
9511180,2
9512005,2
9512006,2
9512139,2
9603004,2
9604062,2
9605032,2
9606043,2
9606073,2
9607032,2
9608183,2
9609059,2
9611112,2
9611188,2
9612105,2
9505035,2
9506011,2
9509162,2
9510101,2
9608085,2
9611230,2
